frame,cell_id,label,cell_size_px,bubble_count,bubble_area,bubble_area_method,bubble_density
0,0,1,18253,23,3468.0,pixel_count,0.0012600668383279461
0,1,2,21674,52,5176.0,pixel_count,0.00239918796714958
0,2,3,9271,19,1868.0,pixel_count,0.002049401359076691
0,3,4,11460,1,62.0,pixel_count,8.726003490401397e-05
0,4,5,9259,18,1178.0,pixel_count,0.0019440544335241386
0,5,6,13214,18,1641.0,pixel_count,0.0013621916149538368
0,6,7,20207,3,589.0,pixel_count,0.00014846340377097045
0,7,8,12080,9,2579.0,pixel_count,0.0007450331125827815
0,8,9,7432,7,626.0,pixel_count,0.0009418729817007535
0,9,10,29840,28,2038.0,pixel_count,0.0009383378016085791
0,10,11,5957,9,1111.0,pixel_count,0.0015108275977841195
0,11,12,8507,6,464.0,pixel_count,0.0007053015163982603
0,12,13,15431,19,3667.0,pixel_count,0.001231287667681939
0,13,14,8711,16,787.0,pixel_count,0.0018367581219148204
0,14,15,11726,8,1141.0,pixel_count,0.0006822445846836091
0,15,16,7197,7,1200.0,pixel_count,0.000972627483673753
0,16,17,12347,28,3317.0,pixel_count,0.002267757349963554
0,17,18,30077,33,2788.0,pixel_count,0.0010971838946703461
0,18,19,14325,13,1659.0,pixel_count,0.0009075043630017451
0,19,20,22897,38,3557.0,pixel_count,0.0016596060619295104
0,20,21,29288,57,4061.0,pixel_count,0.0019461895656924337
0,21,22,10888,21,2314.0,pixel_count,0.001928728875826598
0,22,23,12752,30,1691.0,pixel_count,0.0023525721455457966
0,23,24,9515,21,2394.0,pixel_count,0.002207041513399895
0,24,25,22961,31,4657.0,pixel_count,0.0013501154130917644
0,25,26,10135,0,0.0,pixel_count,0.0
0,26,27,833,4,443.0,pixel_count,0.004801920768307323
0,27,28,20687,9,597.0,pixel_count,0.0004350558321651279
0,28,29,12210,11,2171.0,pixel_count,0.0009009009009009009
0,29,30,3053,7,1414.0,pixel_count,0.0022928267278087126
0,30,31,10032,20,2009.0,pixel_count,0.001993620414673046
0,31,32,20245,24,3218.0,pixel_count,0.001185477895776735
0,32,33,11193,39,3010.0,pixel_count,0.003484320557491289
