tracked_id,length,start_frame,end_frame
0,29,0,29
1,1,0,0
2,7,0,6
3,19,0,18
4,1,0,0
5,5,0,5
6,24,0,23
7,7,0,6
8,2,0,1
9,1,0,0
10,1,0,0
11,6,0,5
12,5,0,5
13,16,0,18
14,12,0,11
15,2,0,2
16,3,0,2
17,1,0,0
18,16,0,15
19,3,0,2
20,1,0,0
21,29,0,29
22,1,0,0
23,5,0,4
24,2,0,1
25,16,0,15
26,1,0,0
27,3,0,3
28,30,0,29
29,1,0,0
30,3,0,2
31,26,0,28
32,26,0,28
33,2,0,1
34,1,0,0
35,2,0,1
36,2,0,1
37,1,0,0
38,2,0,1
39,15,0,17
40,3,0,2
41,1,0,0
42,14,0,13
43,1,0,0
44,1,0,0
45,16,0,18
46,5,0,5
47,2,0,2
48,11,0,10
49,29,0,29
50,30,0,29
51,1,0,0
52,30,0,29
53,27,0,27
54,4,0,3
55,7,0,6
56,1,0,0
57,3,0,2
58,20,0,19
59,4,0,3
60,2,0,1
61,1,0,0
62,1,0,0
63,6,0,5
64,21,0,21
65,1,0,0
66,10,0,12
67,4,0,3
68,2,0,1
69,1,0,0
70,27,0,26
71,3,0,2
72,1,0,0
73,29,0,29
74,1,0,0
75,3,0,2
76,7,0,6
77,1,0,0
78,1,0,0
79,1,0,0
80,5,0,4
81,18,0,18
82,17,0,16
83,30,0,29
84,2,0,1
85,10,0,9
86,17,0,16
87,4,0,3
88,19,0,18
89,13,0,12
90,1,0,0
91,1,0,0
92,4,0,3
93,1,0,0
94,3,0,2
95,1,0,0
96,3,0,3
97,12,0,11
98,1,0,0
99,23,0,22
100,1,0,0
101,6,0,5
102,2,1,2
103,4,1,4
104,4,1,5
105,29,1,29
106,9,1,10
107,2,1,2
108,1,1,1
109,1,1,1
110,2,1,2
111,1,1,1
112,1,1,1
113,27,1,28
114,8,1,8
115,29,1,29
116,6,1,6
117,3,1,5
118,27,1,29
119,1,1,1
120,1,1,1
121,1,1,1
122,1,1,1
123,1,1,1
124,11,1,13
125,15,1,17
126,1,1,1
127,5,1,5
128,6,1,6
129,2,1,2
130,2,1,3
131,4,1,5
132,1,2,2
133,2,2,3
134,1,2,2
135,2,2,4
136,1,2,2
137,1,2,2
138,2,2,3
139,1,2,2
140,3,2,5
141,1,2,2
142,4,2,5
143,1,2,2
144,1,2,2
145,2,2,3
146,1,2,2
147,19,2,23
148,1,2,2
149,10,2,11
150,5,2,6
151,1,2,2
152,2,2,3
153,28,2,29
154,1,2,2
155,10,2,11
156,2,2,3
157,2,2,4
158,2,2,3
159,1,2,2
160,1,2,2
161,1,2,2
