tracked_id,frame,y,x,label
0,0,71.8543,138.8829,1
0,1,72.7128,151.0179,1
0,2,67.9999,155.9402,1
0,3,60.883,166.4687,3
0,4,59.7641,172.0365,1
0,5,64.6195,160.9436,1
0,6,64.8792,164.1187,1
0,7,59.2966,168.5659,1
0,8,58.3705,169.0695,1
0,9,57.8885,167.1762,1
0,10,66.1492,166.8645,4
0,11,72.2211,164.5469,6
0,12,80.8236,166.5217,11
0,13,74.5945,169.2125,8
0,14,71.7098,172.7014,9
0,16,73.6265,166.9327,8
0,17,70.5374,168.2482,10
0,18,67.8714,166.2264,9
0,19,66.9551,166.8494,7
0,20,66.5122,157.6307,9
0,21,71.958,150.4393,8
0,22,78.7466,140.9199,7
0,23,79.0361,138.6134,7
0,24,82.9561,137.0404,6
0,25,87.1626,133.6919,6
0,26,78.8489,136.2145,6
0,27,71.3707,130.4859,6
0,28,63.5744,124.6058,1
0,29,61.0304,118.4664,1
1,0,53.0936,568.5912,2
2,0,33.4131,917.9354,3
2,1,36.4725,928.3319,4
2,2,36.3749,927.6424,2
2,3,39.7437,935.3482,1
2,4,41.5086,935.4278,2
2,5,45.833,937.5599,3
2,6,45.3491,933.3254,5
3,0,40.698,1232.8355,4
3,1,42.2299,1245.4539,3
3,2,41.5339,1252.7863,5
3,3,45.8743,1262.7253,2
3,4,46.3437,1260.5892,3
3,5,46.1077,1267.3494,4
3,6,49.4599,1265.0772,6
3,7,46.9495,1265.6625,4
3,8,49.2426,1258.319,6
3,9,46.6393,1253.3912,6
3,10,48.3256,1247.8829,3
3,11,46.5916,1242.8676,3
3,12,47.31,1247.9336,3
3,13,44.042,1249.6678,2
3,14,42.0686,1255.2508,2
3,15,39.8246,1264.2536,3
3,16,38.5165,1257.7027,3
3,17,27.6405,1252.0493,3
3,18,17.9471,1255.8406,3
4,0,68.6986,35.735,5
5,0,68.5467,1496.5457,6
5,1,73.0621,1509.0915,5
5,2,77.2761,1507.4582,7
5,3,70.0639,1509.0365,5
5,5,79.0979,1509.5277,8
6,0,74.5074,765.9564,7
6,1,80.1667,776.6257,6
6,2,82.5571,782.8273,8
6,3,81.063,787.9611,7
6,4,85.8598,780.1382,8
6,5,90.2139,770.4525,10
6,6,89.7057,762.92,11
6,7,94.6275,753.9362,8
6,8,89.9191,760.0588,8
6,9,94.752,759.2339,8
6,10,88.7783,763.4833,7
6,11,92.4802,758.6321,8
6,12,94.05,763.5155,10
6,13,93.8931,770.1372,6
6,14,89.9786,773.301,7
6,15,97.2848,777.4441,6
6,16,107.0242,783.2099,9
6,17,107.8741,784.8803,11
6,18,110.2184,792.8225,10
6,19,109.9968,802.8577,9
6,20,114.1377,799.3199,12
6,21,109.5493,806.1263,10
6,22,104.4707,813.3318,8
6,23,104.7862,814.7017,8
7,0,96.3839,1061.5783,8
7,1,92.0041,1064.7833,8
7,2,85.0645,1067.3045,9
7,3,80.2665,1070.7509,8
7,4,81.0927,1068.6015,7
7,5,78.9256,1071.1905,9
7,6,77.2356,1069.952,9
8,0,145.5655,461.4303,9
8,1,146.9234,456.2708,9
9,0,227.8382,252.4935,10
10,0,178.4511,586.2671,11
11,0,168.5343,863.3865,12
11,1,168.442,869.3084,11
11,2,174.0366,865.7902,13
11,3,177.1565,866.3914,12
11,4,175.8129,858.2296,11
11,5,166.6501,849.8395,15
12,0,203.8229,1340.8333,13
12,1,202.5607,1343.2748,12
12,2,197.8822,1342.632,12
12,3,197.0701,1354.9014,9
12,5,191.6247,1351.2135,12
13,0,190.6332,1070.2887,14
13,1,184.7589,1079.2322,13
13,2,183.5068,1084.0862,14
13,3,180.4949,1086.6493,13
13,4,183.2372,1087.1939,12
13,5,183.33,1089.1759,16
13,6,180.6338,1088.0812,15
13,8,177.802,1094.9275,14
13,9,176.3927,1094.6524,13
13,10,177.6262,1099.5263,14
13,12,176.2932,1103.0,16
13,14,180.5779,1096.9858,15
13,15,185.8922,1100.3129,14
13,16,179.7257,1104.1729,16
13,17,176.3638,1103.3765,17
13,18,180.2561,1104.3532,16
14,0,258.373,39.5409,15
14,1,259.7531,46.1028,15
14,2,263.8033,43.5816,17
14,3,264.8805,43.7521,16
14,4,261.5714,45.181,15
14,5,265.6968,43.0864,20
14,6,267.0772,43.7993,21
14,7,266.0472,44.7754,20
14,8,268.4841,47.5651,21
14,9,277.859,52.4492,21
14,10,285.1978,53.4244,22
14,11,297.0734,56.1605,21
15,0,255.2391,919.3112,16
15,2,256.0784,928.7971,16
16,0,265.1404,1516.5466,17
16,1,260.0088,1518.1978,16
16,2,251.1425,1524.8289,18
17,0,307.7733,612.4748,18
18,0,339.7083,341.0128,19
18,1,348.1656,346.1768,20
18,2,347.6832,347.0019,24
18,3,347.5824,353.0449,21
18,4,349.2434,350.7281,21
18,5,347.3733,356.3521,24
18,6,343.743,358.3756,24
18,7,335.8144,362.1488,22
18,8,336.1445,366.0895,22
18,9,333.598,367.309,23
18,10,324.5568,364.7917,24
18,11,320.3045,364.4271,23
18,12,325.1752,361.0796,26
18,13,325.1809,358.8418,22
18,14,325.7839,356.9249,24
18,15,331.8575,359.7173,24
19,0,382.3622,466.1603,20
19,1,378.6882,478.4959,21
19,2,372.7551,482.2743,22
20,0,392.5315,1165.5458,21
21,0,357.1136,850.2472,22
21,1,359.4065,853.1997,23
21,2,360.8821,855.7802,27
21,3,363.3696,853.5392,23
21,4,362.2097,854.4254,25
